,school,district,city,state,county,address,zip,school_sample,cleaned
1299,April Lane Elementary,Yuba City Unified,Yuba City,CA,Sutter County,800 April Ln.,95991,0,April Lane Elementary School
1300,Barry Elementary,Yuba City Unified,Yuba City,CA,Sutter County,1255 Barry Rd.,95991,1,Barry Elementary School
1301,Central Gaither Elementary,Yuba City Unified,Yuba City,CA,Sutter County,8403 Bailey Rd.,95993,0,Central Gaither Elementary School
1302,Albert Powell Continuation,Yuba City Unified,Yuba City,CA,Sutter County,1875 Clark Ave.,95991,1,Albert Powell Continuation
1303,King Avenue Elementary,Yuba City Unified,Yuba City,CA,Sutter County,630 King Ave.,95991,1,King Avenue Elementary School
1304,Gray Avenue Middle,Yuba City Unified,Yuba City,CA,Sutter County,808 Gray Ave.,95991,1,Gray Avenue Middle School
1305,Lincoln Elementary,Yuba City Unified,Yuba City,CA,Sutter County,1582 Lincoln Rd.,95993,0,Lincoln Elementary School
1306,Yuba City High,Yuba City Unified,Yuba City,CA,Sutter County,850 B St.,95991,1,Yuba City High School
1307,Bridge Street Elementary,Yuba City Unified,Yuba City,CA,Sutter County,500 Bridge St.,95991,0,Bridge Street Elementary School
1308,Tierra Buena Elementary,Yuba City Unified,Yuba City,CA,Sutter County,1794 Villa Ave.,95993,0,Tierra Buena Elementary School
1309,Lincrest Elementary,Yuba City Unified,Yuba City,CA,Sutter County,1400 Phillips Rd.,95991,0,Lincrest Elementary School
1310,Andros Karperos,Yuba City Unified,Yuba City,CA,Sutter County,1700 Camino de Flores,95993,0,Andros Karperos
1311,River Valley High,Yuba City Unified,Yuba City,CA,Sutter County,801 El Margarita Rd.,95993,0,River Valley High School
1312,Yuba City Independence Academy,Yuba City Unified,Yuba City,CA,Sutter County,984 B St.,95991,0,Yuba City Independence Academy
1313,Pcm High School,Pcm Comm School District,Monroe,IA,Jasper County,400 East Highway 163,50170,1,Pcm High School
1314,Monroe Elementary School,Pcm Comm School District,Monroe,IA,Jasper County,400 N Jasper,50170,1,Monroe Elementary School
1315,Prairie City Elementary School,Pcm Comm School District,Prairie City,IA,Jasper County,309 East Plainsmen Road,50228,1,Prairie City Elementary School
1316,Pcm Middle School,Pcm Comm School District,Prairie City,IA,Jasper County,407 Plainsmen Rd,50228,1,Pcm Middle School
1317,Eastside Elementary,Eastside Union Elementary,Lancaster,CA,Los Angeles County,6742 E. Ave. H,93535,0,Eastside Elementary School
1318,Gifford C. Cole Middle,Eastside Union Elementary,Lancaster,CA,Los Angeles County,3126 E. Ave. I,93535,1,Gifford C. Cole Middle School
1319,Enterprise Elementary,Eastside Union Elementary,Lancaster,CA,Los Angeles County,3730 E. Ave. J-4,93535,0,Enterprise Elementary School
1320,Eastside Academy/Transitional Learning Center,Eastside Union Elementary,Lancaster,CA,Los Angeles County,44958 30th St. E.,93535,1,Eastside Academy/Transitional Learning Center
1321,Columbia Elementary,Eastside Union Elementary,Lancaster,CA,Los Angeles County,2640 E. Ave. J-4,93535,0,Columbia Elementary School
1322,Tierra Bonita Elementary,Eastside Union Elementary,Lancaster,CA,Los Angeles County,44820 N. 27th St. E.,93535,1,Tierra Bonita Elementary School
1323,Galva Elem School,Galva Cusd 224,Galva,IL,Henry County,224 Morgan Rd,61434,1,Galva Elem School
1324,Galva Jr-Sr High School,Galva Cusd 224,Galva,IL,Henry County,224 Morgan Rd,61434,1,Galva Jr-Sr High School
1325,Mcdaniel Learning Center,Laurel County,London,KY,Laurel County,275 South Laurel Rd.,40744,0,Mcdaniel Learning Center
1326,Bush Elementary School,Laurel County,London,KY,Laurel County,1832 E Laurel Rd,40741,1,Bush Elementary School
1327,Colony Elementary School,Laurel County,London,KY,Laurel County,3656 Somerset Road,40741,0,Colony Elementary School
1328,Wyan-Pine Grove Elementary,Laurel County,London,KY,Laurel County,2330 KEAVY ROAD,40744,0,Wyan-Pine Grove Elementary School
1329,Sublimity Elementary School,Laurel County,London,KY,Laurel County,900 Sublimity School Rd,40744,0,Sublimity Elementary School
1330,Hunter Hills Elementary School,Laurel County,Corbin,KY,Laurel County,8325 S US 25,40701,0,Hunter Hills Elementary School
1331,North Laurel High School,Laurel County,London,KY,Laurel County,1300 East Hal Rogers Parkway,40741,1,North Laurel High School
1332,Cold Hill Elementary School,Laurel County,London,KY,Laurel County,4012 W Laurel Rd,40741,0,Cold Hill Elementary School
1333,Laurel County Day Treatment,Laurel County,London,KY,Laurel County,65 Marydell Rd,40741,0,Laurel County Day Treatment
1334,North Laurel Middle School,Laurel County,London,KY,Laurel County,101 Johnson Rd,40741,1,North Laurel Middle School
1335,Keavy Elementary School,Laurel County,Keavy,KY,Laurel County,598 W Hwy 312,40737,0,Keavy Elementary School
1336,Camp Ground Elementary School,Laurel County,London,KY,Laurel County,6800 Barbourville Rd,40744,0,Camp Ground Elementary School
1337,Laurel County Virtual Academy,Laurel County,London,KY,Laurel County,718 N. Main Street,40741,0,Laurel County Virtual Academy
1338,Johnson Elementary School,Laurel County,London,KY,Laurel County,1781 McWhorter Rd,40741,1,Johnson Elementary School
1339,South Laurel High School,Laurel County,London,KY,Laurel County,201 South Laurel Rd,40744,1,South Laurel High School
1340,London Elementary School,Laurel County,London,KY,Laurel County,600 N Main St,40741,0,London Elementary School
1341,South Laurel Middle School,Laurel County,London,KY,Laurel County,223 S Laurel Rd,40744,1,South Laurel Middle School
1342,Laurel Co Schools Center For Innovation,Laurel County,London,KY,Laurel County,1100 East Fourth Street,40741,0,Laurel Co Schools Center For Innovation
1343,Hazel Green Elementary School,Laurel County,East Bernstadt,KY,Laurel County,2515 Hwy 1394,40729,0,Hazel Green Elementary School
1344,Goldenview Colony School - 04,Mccook Central School District 43-7,Salem,SD,Mccook County,25473 438th Ave,57058,1,Goldenview Colony School - 04
1345,Mccook Central Middle School - 03,Mccook Central School District 43-7,Salem,SD,Mccook County,200 E Essex,57058,1,Mccook Central Middle School - 03
1346,Mccook Central Elementary - 02,Mccook Central School District 43-7,Salem,SD,Mccook County,200 E Essex,57058,1,Mccook Central Elementary - 02
1347,Mccook Central High School - 01,Mccook Central School District 43-7,Salem,SD,Mccook County,200 E Essex,57058,1,Mccook Central High School - 01
1348,Okay Es,Okay,Okay,OK,Wagoner County,8611 N  49th Street East,74446,1,Okay Elementary School
1349,Okay Hs,Okay,Okay,OK,Wagoner County,8611 N  49th Street East,74446,1,Okay High School
1350,Westville Es,Westville,Westville,OK,Adair County,500 W Chincapin,74965,1,Westville Elementary School
1351,Westville Jhs,Westville,Westville,OK,Adair County,500 W Chincapin,74965,1,Westville Junior High School
1352,Westville Hs,Westville,Westville,OK,Adair County,500 W Chincapin,74965,1,Westville High School
1353,Simons Middle School,Fleming County,Flemingsburg,KY,Fleming County,242 W Water St,41041,1,Simons Middle School
1354,Hillsboro Elementary School,Fleming County,Hillsboro,KY,Fleming County,7348 Hillsboro Rd,41049,1,Hillsboro Elementary School
1355,Flemingsburg Elementary School,Fleming County,Flemingsburg,KY,Fleming County,245 W Water St,41041,0,Flemingsburg Elementary School
1356,E P Ward Elementary School,Fleming County,Wallingford,KY,Fleming County,12811 Morehead Rd,41093,0,E P Ward Elementary School
1357,Ewing Elementary School,Fleming County,Ewing,KY,Fleming County,5651 Elizaville Rd.,41039,1,Ewing Elementary School
1358,Fleming County High School,Fleming County,Flemingsburg,KY,Fleming County,1658 Elizaville Rd,41041,1,Fleming County High School
1359,Caledonia Elem.,Valley R-Vi,Caledonia,MO,Washington County,1 VIKING DR,63631,1,Caledonia Elem.
1360,Belgrade Elem.,Valley R-Vi,Caledonia,MO,Washington County,#2 Viking Drive,63631,0,Belgrade Elem.
1361,Valley High,Valley R-Vi,Caledonia,MO,Washington County,1 VIKING DR,63631,1,Valley High School
1362,Westside Park Elementary,Adelanto Elementary,Adelanto,CA,San Bernardino County,18270 Casaba Rd.,92301,0,Westside Park Elementary School
1363,Columbia Middle,Adelanto Elementary,Adelanto,CA,San Bernardino County,14409 Aster St.,92301,0,Columbia Middle School
1364,West Creek Elementary,Adelanto Elementary,Victorville,CA,San Bernardino County,15763 Colbalt Rd.,92395,0,West Creek Elementary School
1365,Donald F. Bradach Elementary,Adelanto Elementary,Adelanto,CA,San Bernardino County,15550 Bellflower Rd.,92301,0,Donald F. Bradach Elementary School
1366,Adelanto Elementary,Adelanto Elementary,Adelanto,CA,San Bernardino County,17931 Jonathan St.,92301,1,Adelanto Elementary School
1367,Melva Davis Academy Of Excellence,Adelanto Elementary,Victorville,CA,San Bernardino County,15831 Diamond Rd.,92394,1,Melva Davis Academy Of Excellence
1368,El Mirage,Adelanto Elementary,Adelanto,CA,San Bernardino County,19250 St. Anthony Ave.,92301,0,Elementary Mirage
1369,George Visual And Performing Arts Magnet And Middle,Adelanto Elementary,Adelanto,CA,San Bernardino County,10650 Bartlett Ave.,92301,0,George Visual And Performing Arts Magnet And Middle School
1370,Mesa Linda Middle,Adelanto Elementary,Victorville,CA,San Bernardino County,13001 Mesa Linda Rd.,92392,1,Mesa Linda Middle School
1371,Gus Franklin Jr. School,Adelanto Elementary,Victorville,CA,San Bernardino County,13125 Hopland St.,92395,0,Gus Franklin Jr. School
1372,Victoria Magathan Elementary,Adelanto Elementary,Adelanto,CA,San Bernardino County,11411 Holly Rd.,92301,0,Victoria Magathan Elementary School
1373,Eagle Ranch Elementary,Adelanto Elementary,Adelanto,CA,San Bernardino County,12545 Eagle Ranch Pkwy.,92301,1,Eagle Ranch Elementary School
1374,Morgan Kincaid Preparatory,Adelanto Elementary,Victorville,CA,San Bernardino County,13257 Mesa Linda Ave.,92392,0,Morgan Kincaid Preparatory
1375,Theodore Vick Elementary,Adelanto Elementary,Adelanto,CA,San Bernardino County,10575 Seneca,92301,0,Theodore Vick Elementary School
